lat,lon
 38.690838, -9.294495
 38.690838, -9.294495
 38.690838, -9.294495
 38.690838, -9.294495
 38.690838, -9.294495
 38.690838, -9.294495
 38.690838, -9.294495
 38.690838, -9.294495
 38.690838, -9.294495
 38.690838, -9.294495
 38.690838, -9.294495
 38.690838, -9.294495
 38.690838, -9.294495
 38.690838, -9.294495
 38.690838, -9.294495
 38.690838, -9.294495
 38.690838, -9.294495
 38.690838, -9.294495
 38.690838, -9.294495
 38.690838, -9.294495
 38.690838, -9.294495
 38.690838, -9.294495
 38.690838, -9.294495
 38.690838, -9.294495
 38.690838, -9.294495
 38.690838, -9.294495
 38.690838, -9.294495
 38.690838, -9.294495
 38.690838, -9.294495
 38.690838, -9.294495
 38.690838, -9.294495
 38.690838, -9.294495
 38.690838, -9.294495
 38.690838, -9.294495
 38.690838, -9.294495
 38.690815, -9.294511
 38.690815, -9.294511
 38.690815, -9.294511
 38.690815, -9.294511
 38.690815, -9.294511
 38.690815, -9.294511
 38.690815, -9.294511
 38.690815, -9.294511
 38.690815, -9.294511
 38.690815, -9.294511
 38.690815, -9.294511
 38.690815, -9.294511
 38.690815, -9.294511
 38.690815, -9.294511
 38.690815, -9.294511
 38.690815, -9.294511
 38.690815, -9.294511
 38.690815, -9.294511
 38.690815, -9.294511
 38.690815, -9.294511
 38.690815, -9.294511
 38.690815, -9.294511
 38.690815, -9.294511
 38.690815, -9.294511
 38.690815, -9.294511
 38.690815, -9.294511
 38.690815, -9.294511
 38.690815, -9.294511
 38.690815, -9.294511
 38.690815, -9.294511
 38.690815, -9.294511
 38.690815, -9.294511
 38.690815, -9.294511
 38.690815, -9.294511
 38.690815, -9.294511
 38.690796, -9.294523
 38.690796, -9.294523
 38.690796, -9.294523
 38.690796, -9.294523
 38.690796, -9.294523
 38.690796, -9.294523
 38.690796, -9.294523
 38.690796, -9.294523
 38.690796, -9.294523
 38.690796, -9.294523
 38.690796, -9.294523
 38.690796, -9.294523
 38.690796, -9.294523
 38.690796, -9.294523
 38.690796, -9.294523
 38.690796, -9.294523
 38.690796, -9.294523
 38.690796, -9.294523
 38.690796, -9.294523
 38.690796, -9.294523
 38.690781, -9.294529
 38.690781, -9.294529
 38.690781, -9.294529
 38.690781, -9.294529
 38.690781, -9.294529
 38.690781, -9.294529
 38.690781, -9.294529
 38.690781, -9.294529
 38.690781, -9.294529
 38.690781, -9.294529
 38.690781, -9.294529
 38.690781, -9.294529
 38.690781, -9.294529
 38.690781, -9.294529
 38.690781, -9.294529
 38.690781, -9.294529
 38.690781, -9.294529
 38.690769, -9.294537
 38.690769, -9.294537
 38.690769, -9.294537
 38.690769, -9.294537
 38.690769, -9.294537
 38.690769, -9.294537
 38.690769, -9.294537
 38.690769, -9.294537
